Season,Name,Team,IP,HR/FB,NameASCII,PlayerId,MLBAMID
2017,"Raúl Alcántara","OAK",15,0.25,"Raul Alcantara",12790,593417
2018,"Caleb Ferguson","LAD",10.2,0.25,"Caleb Ferguson",19349,657571
2019,"Trevor Cahill","LAA",53.1,0.25,"Trevor Cahill",6249,502239
2019,"Tim Melville","COL",33.1,0.25,"Tim Melville",9149,543532
2019,"Chad Green","NYY",19.1,0.25,"Chad Green",15552,643338
2020,"Ryan Weber","BOS",19,0.25,"Ryan Weber",10160,543901
2020,"Adrian Houser","MIL",55,0.25,"Adrian Houser",12718,605288
2020,"Ross Stripling","- - -",41.1,0.25,"Ross Stripling",13273,548389
2020,"Jakob Junis","KCR",23.1,0.25,"Jakob Junis",13619,596001
2020,"Brent Suter","MIL",13,0.25,"Brent Suter",13942,608718
2020,"Zack Godley","BOS",24.2,0.25,"Zack Godley",14862,643327
2020,"Chris Paddack","SDP",59,0.25,"Chris Paddack",20099,663978
2020,"Josh Fleming","TBR",25.2,0.25,"Josh Fleming",20418,676596
2021,"Jerad Eickhoff","NYM",17,0.25,"Jerad Eickhoff",12664,595191
2021,"Packy Naughton","LAA",17.1,0.25,"Packy Naughton",23292,676050
2022,"Elvin Rodriguez","DET",23.1,0.25,"Elvin Rodriguez",20962,660730
2022,"Matt Brash","SEA",20,0.25,"Matt Brash",25756,666374
2022,"Chase Silseth","LAA",28.2,0.25,"Chase Silseth",30074,681217
2023,"Michael Soroka","ATL",29.1,0.25,"Michael Soroka",18383,647336
2006,"Mark Mulder","STL",93.1,0.24675325,"Mark Mulder",932,150426
2004,"Edgar Gonzalez","ARI",46.1,0.24590164,"Edgar Gonzalez",1727,429440
2003,"Denny Neagle","COL",35.1,0.24489796,"Denny Neagle",441,119673
2021,"J.C. Mejía","CLE",42.1,0.24444444,"J.C. Mejia",20617,650496
2015,"David Holmberg","CIN",28.1,0.24390244,"David Holmberg",7725,571787
2019,"Clayton Richard","TOR",45.1,0.24324324,"Clayton Richard",3551,453385
2019,"Edwin Jackson","- - -",55.1,0.24285714,"Edwin Jackson",1841,429719
2020,"Trevor Williams","PIT",55.1,0.24193548,"Trevor Williams",16977,592866
